,practica,responsabilidad,gestion,equipo,ingenieria,informacion,industrial,office,excel,diseno,analisis
496,comunicaciones,1,0,0,0,1,0,0,0,0,0
498,sistemas,1,1,1,1,1,0,1,1,0,0
499,administracion,1,0,1,1,0,0,1,1,1,0
500,contabilidad,1,0,1,0,1,0,0,1,0,0
501,ingenieria,1,0,1,0,1,1,1,1,0,1
502,sistemas,1,0,0,1,1,1,0,0,1,1
504,psicologia,1,0,1,0,0,0,0,1,0,0
505,ingenieria,1,1,1,1,1,1,1,1,0,0
506,marketing,1,0,0,0,1,0,1,0,1,0
507,ingenieria,1,0,1,1,0,1,1,0,0,0
508,marketing,1,0,0,0,1,0,1,0,1,0
509,mantenimiento,1,0,1,0,1,1,0,0,0,0
510,ingenieria,1,0,0,1,0,1,1,0,0,0
511,sistemas,1,1,0,1,1,0,0,1,0,0
512,psicologia,1,1,1,1,1,1,0,1,0,0
513,psicologia,1,0,1,1,0,0,0,1,0,0
514,sistemas,1,1,0,1,1,0,1,0,1,1
515,sistemas,1,0,1,1,1,0,0,0,1,1
516,contabilidad,1,1,0,0,0,0,1,0,0,0
518,contabilidad,1,1,0,0,0,0,0,1,0,1
519,marketing,1,1,1,0,1,0,0,0,0,1
520,comunicaciones,1,0,1,0,0,0,0,1,0,0
521,ingenieria,1,0,0,1,1,0,1,1,0,1
522,ingenieria,1,0,0,1,1,1,0,1,0,1
523,psicologia,1,0,0,0,0,0,0,0,0,0
525,marketing,1,0,1,1,0,1,0,1,0,0
526,comunicaciones,1,1,0,0,0,0,0,0,1,1
527,administracion,1,0,0,0,1,0,1,1,0,0
528,marketing,1,0,0,0,1,0,0,1,0,0
529,psicologia,1,0,0,0,0,1,0,0,0,0
530,ingenieria,1,0,1,1,1,0,0,1,0,1
531,medicina,1,0,0,0,0,0,0,0,0,0
532,comercial,1,0,0,1,1,0,0,1,0,0
533,contabilidad,1,0,1,1,1,1,0,0,0,0
534,ingenieria,1,0,0,0,0,0,0,0,0,0
535,contabilidad,1,0,0,0,0,0,0,0,0,0
536,sistemas,1,0,0,1,0,0,0,0,0,0
537,marketing,1,0,0,0,0,0,0,1,0,0
538,psicologia,1,0,0,0,0,0,0,0,0,0
540,administracion,1,1,0,1,0,1,1,0,0,0
541,ingenieria,1,0,0,0,0,0,0,0,0,1
542,ingenieria,1,0,1,1,0,0,0,1,0,0
543,contabilidad,1,0,0,0,0,0,0,0,0,0
544,comercial,1,1,0,0,1,1,1,0,0,0
545,sistemas,1,1,0,1,0,1,0,1,0,0
546,sistemas,1,1,0,1,0,1,0,1,0,0
547,sistemas,1,1,0,1,0,1,0,1,0,0
548,marketing,1,0,0,0,0,0,0,0,0,0
549,sistemas,1,0,0,0,1,0,0,0,0,0
550,ingenieria,1,1,1,1,0,1,0,1,0,1
551,contabilidad,1,0,0,0,0,0,0,1,0,0
552,contabilidad,1,0,0,0,0,0,1,0,0,0
553,administracion,1,0,1,0,0,0,0,0,0,0
554,administracion,1,0,0,1,1,1,1,0,0,0
